state,calls
WA,0
WA,0
WA,0
WA,0
WA,0
WA,1
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,2
WA,0
WA,0
WA,0
WA,0
WA,3
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,3
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,2
WA,0
WA,0
WA,0
AK,82
AK,0
AK,0
AK,0
AK,0
AK,0
AK,0
AK,0
AK,0
AK,0
AK,0
AK,0
AK,0
AK,0
TX,0
TX,0
TX,0
TX,1
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,7
TX,0
TX,0
TX,0
TX,0
TX,3
TX,2
TX,0
TX,0
TX,0
TX,8
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,3
TX,0
TX,3
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,3
TX,0
TX,0
TX,0
TX,0
TX,2
TX,3
TX,0
TX,0
TX,0
TX,3
TX,0
TX,0
TX,0
TX,0
TX,0
TX,0
TX,1
NH,1
NH,0
NH,1
NH,0
NH,0
NH,0
NH,1
NH,0
NH,1
NH,0
MO,2
MO,2
MO,0
MO,0
MO,0
MO,0
MO,1
MO,0
MO,0
MO,0
MO,0
MO,2
MO,0
MO,3
MO,0
MO,0
MO,0
MO,0
MO,0
MO,0
MO,0
MO,0
MO,0
MO,0
MO,0
MO,0
MO,3
MO,0
AZ,3
AZ,17
AZ,0
AZ,0
AZ,0
AZ,0
AZ,0
AZ,6
AZ,0
AZ,0
AZ,0
AZ,0
AZ,2
AZ,0
AZ,0
AZ,5
AZ,0
AZ,29
AZ,0
AZ,0
AZ,0
AZ,2
AZ,0
AZ,0
AZ,0
AZ,1
AZ,0
AZ,16
AZ,0
AZ,0
AZ,0
AZ,0
AZ,1
AZ,0
AZ,8
AZ,0
AZ,0
AZ,0
AZ,0
AZ,0
AZ,0
AZ,0
AZ,6
AZ,0
AZ,0
AZ,2
AZ,0
AZ,4
KS,0
KS,0
KS,0
KS,2
KS,0
KS,0
KS,0
KS,0
KS,0
KS,2
KS,0
KS,2
KS,0
KS,0
MI,0
MI,0
MI,3
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,1
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,0
MI,1
MI,0
MI,0
MI,0
MI,0
MI,1
IL,0
IL,0
IL,0
IL,3
IL,0
IL,0
IL,0
IL,0
IL,3
IL,0
IL,1
IL,0
IL,2
IL,0
IL,0
IL,0
IL,1
IL,0
IL,0
IL,0
IL,0
IL,1
IL,3
IL,0
IL,2
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,2
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,1
IL,0
IL,0
IL,0
IL,1
IL,0
IL,2
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0
MS,0
MS,0
VT,0
VT,0
VT,0
VT,0
VT,0
VT,0
VT,0
VT,0
VT,0
VT,0
VT,3
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,15
OH,0
OH,0
OH,0
OH,1
OH,0
OH,13
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,0
OH,3
OH,0
OH,0
OH,0
OH,0
OH,30
OH,0
OH,0
OH,0
OH,0
NC,0
NC,0
NC,0
NC,0
NC,4
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,1
NC,0
NC,0
NC,0
NC,0
NC,2
NC,0
NC,0
NC,0
NC,1
NC,0
NC,0
NC,4
NC,0
NC,4
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
NC,1
NC,0
NC,0
NC,2
NC,0
NC,0
NC,0
NC,0
NC,0
NC,0
MD,3
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,2
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MD,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,3
MN,0
MN,0
MN,0
MN,0
MN,1
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,0
MN,1
MN,0
MN,0
MN,0
MN,3
MN,0
MN,0
MN,0
MN,0
MN,1
MN,0
MN,0
MN,2
MN,0
MN,0
MN,0
MN,4
MN,0
MN,0
MN,1
MN,0
MN,0
MN,0
MN,0
CT,1
CT,0
CT,0
CT,0
CT,0
CT,0
CT,0
CT,3
CT,3
CT,1
CT,0
CT,0
CT,0
CT,0
CT,0
CT,0
CT,10
CT,0
CT,0
CT,0
CT,0
CT,0
CT,2
CT,0
NV,0
NV,0
NV,0
NV,0
NV,3
NV,0
NV,2
NV,0
LA,0
LA,0
LA,1
LA,0
LA,0
LA,1
GA,0
GA,0
GA,0
GA,0
GA,0
GA,1
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,0
GA,1
GA,0
GA,0
GA,0
GA,0
GA,0
GA,4
GA,0
GA,1
OK,0
OK,0
OK,0
OK,0
OK,0
OK,2
OK,0
OK,0
SD,0
DE,0
DE,0
DE,0
DE,0
DE,0
DE,0
MT,0
MT,1
MT,0
MT,0
MT,0
MT,0
MT,0
MT,4
MT,0
MT,0
UT,0
UT,0
UT,0
UT,0
UT,0
UT,0
UT,0
UT,0
UT,0
UT,0
IA,0
IA,0
IA,0
IA,0
IA,0
IA,0
IA,3
IA,2
IA,0
IA,0
IA,1
IA,0
IA,0
KY,14
KY,0
KY,0
KY,0
KY,0
KY,0
KY,0
KY,0
KY,0
KY,0
KY,0
KY,0
KY,0
KY,1
KY,0
KY,0
KY,0
ID,0
ID,0
ID,4
ID,0
ID,0
ID,0
AR,0
AR,0
AR,1
AR,0
AR,0
SC,0
SC,0
SC,3
SC,0
SC,1
SC,0
SC,0
SC,0
SC,0
SC,0
SC,0
SC,0
SC,1
IN,0
IN,0
IN,0
IN,0
IN,2
IN,0
IN,0
IN,0
IN,0
IN,0
IN,6
IN,0
IN,1
IN,0
RI,0
RI,0
RI,0
RI,0
RI,0
RI,0
RI,0
RI,0
RI,0
NE,0
NE,0
NE,0
NE,0
NE,0
NE,0
NE,0
NM,3
NM,0
NM,3
NM,0
NM,0
NM,0
NM,0
NM,3
NM,0
NM,0
NM,0
NM,0
NM,0
NM,0
NM,0
NM,0
NM,0
WV,3
WV,0
WV,0
WV,0
WV,0
AL,0
AL,0
AL,0
AL,0
AL,0
WY,0
